x,T
0.0001,288.999
0.00110808,288.552
0.00211616,288.105
0.00312424,287.658
0.00413232,287.211
0.0051404,286.812
0.00614848,286.75
0.00715657,286.689
0.00816465,286.628
0.00917273,286.567
0.0101808,286.513
0.0111889,286.521
0.012197,286.529
0.0132051,286.537
0.0142131,286.544
0.0152212,286.543
0.0162293,286.402
0.0172374,286.26
0.0182455,286.118
0.0192535,285.977
0.0807465,285.719
0.0817545,285.628
0.0827626,285.538
0.0837707,285.448
0.0847788,285.358
0.0857869,285.283
0.0867949,285.208
0.087803,285.133
0.0888111,285.057
0.0898192,284.982
0.0908273,284.827
0.0918354,284.66
0.0928434,284.493
0.0938515,284.326
0.0948596,284.159
