x,T
0.0201,285.722
0.0213204,285.805
0.0225408,285.772
0.0237612,285.75
0.0249816,285.737
0.026202,285.725
0.0274224,285.716
0.0286429,285.712
0.0298633,285.708
0.0310837,285.704
0.0323041,285.699
0.0335245,285.695
0.0347449,285.69
0.0359653,285.686
0.0371857,285.682
0.0384061,285.678
0.0396265,285.674
0.0408469,285.671
0.0420673,285.669
0.0432878,285.667
0.0445082,285.664
0.0457286,285.663
0.046949,285.663
0.0481694,285.662
0.0493898,285.661
0.0506102,285.661
0.0518306,285.662
0.053051,285.663
0.0542714,285.664
0.0554918,285.665
0.0567122,285.668
0.0579327,285.671
0.0591531,285.674
0.0603735,285.678
0.0615939,285.685
0.0628143,285.692
0.0640347,285.698
0.0652551,285.709
0.0664755,285.722
0.0676959,285.735
0.0689163,285.748
0.0701367,285.769
0.0713571,285.789
0.0725776,285.81
0.073798,285.828
0.0750184,285.846
0.0762388,285.863
0.0774592,285.88
0.0786796,285.893
0.0799,285.891
