# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.120192      	DICPCG	1.000000e+00	1.839750e-07	2	true
0.264006      	DICPCG	3.553960e-01	9.407120e-08	2	true
0.394196      	DICPCG	1.852340e-01	3.994780e-08	2	true
0.403028      	DICPCG	1.026430e-02	4.066090e-07	1	true
0.413402      	DICPCG	1.177260e-02	5.476950e-07	1	true
0.425658      	DICPCG	1.353320e-02	7.436910e-07	1	true
0.44026       	DICPCG	1.562190e-02	4.107960e-11	2	true
0.45774       	DICPCG	1.803290e-02	6.799300e-11	2	true
0.478716      	DICPCG	2.074970e-02	1.127270e-10	2	true
0.503841      	DICPCG	2.368520e-02	1.847230e-10	2	true
0.533934      	DICPCG	2.685800e-02	3.007740e-10	2	true
0.569914      	DICPCG	3.018550e-02	4.836770e-10	2	true
0.612773      	DICPCG	3.355560e-02	7.638520e-10	2	true
0.6639        	DICPCG	3.707370e-02	1.202630e-09	2	true
0.724892      	DICPCG	4.064810e-02	1.880080e-09	2	true
0.797572      	DICPCG	4.417170e-02	2.907320e-09	2	true
0.884319      	DICPCG	4.770700e-02	4.484690e-09	2	true
0.98782       	DICPCG	5.111460e-02	6.861080e-09	2	true
1.11096       	DICPCG	5.421780e-02	1.033750e-08	2	true
1.25752       	DICPCG	5.714500e-02	1.549790e-08	2	true
1.42833       	DICPCG	5.868680e-02	2.170840e-08	2	true
1.62476       	DICPCG	5.932140e-02	2.913910e-08	2	true
1.65584       	DICPCG	8.745240e-03	1.039530e-10	2	true
1.69074       	DICPCG	9.622050e-03	1.442150e-10	2	true
1.73243       	DICPCG	1.123860e-02	2.408050e-10	2	true
1.78226       	DICPCG	1.307560e-02	4.005190e-10	2	true
1.8421        	DICPCG	1.522450e-02	6.737750e-10	2	true
1.91379       	DICPCG	1.759600e-02	1.120020e-09	2	true
1.99962       	DICPCG	2.020650e-02	1.847080e-09	2	true
2.10276       	DICPCG	2.315370e-02	3.065190e-09	2	true
2.22653       	DICPCG	2.631230e-02	5.032100e-09	2	true
2.37441       	DICPCG	2.956100e-02	8.100610e-09	2	true
2.54452       	DICPCG	3.178480e-02	1.156350e-08	2	true
2.62769       	DICPCG	1.479610e-02	1.265770e-09	2	true
2.6933        	DICPCG	1.134710e-02	6.018810e-10	2	true
2.77212       	DICPCG	1.326660e-02	1.017880e-09	2	true
2.86671       	DICPCG	1.542270e-02	1.708230e-09	2	true
2.98021       	DICPCG	1.783790e-02	2.853530e-09	2	true
3.11614       	DICPCG	2.047320e-02	4.713010e-09	2	true
3.15814       	DICPCG	6.157740e-03	1.329920e-10	2	true
3.20583       	DICPCG	6.891250e-03	1.920000e-10	2	true
3.26303       	DICPCG	8.129260e-03	3.263720e-10	2	true
3.3316        	DICPCG	9.555400e-03	5.522830e-10	2	true
3.41399       	DICPCG	1.121900e-02	9.382050e-10	2	true
3.51301       	DICPCG	1.312320e-02	1.589370e-09	2	true
3.63172       	DICPCG	1.524430e-02	2.661930e-09	2	true
3.77418       	DICPCG	1.763480e-02	4.450580e-09	2	true
3.93621       	DICPCG	1.925270e-02	6.303330e-09	2	true
3.97416       	DICPCG	4.407330e-03	7.485670e-07	1	true
4.01638       	DICPCG	4.852860e-03	9.165070e-07	1	true
4.06575       	DICPCG	5.609230e-03	1.669500e-10	2	true
4.12342       	DICPCG	6.464260e-03	2.627540e-10	2	true
4.19187       	DICPCG	7.553160e-03	4.331880e-10	2	true
4.27315       	DICPCG	8.806880e-03	7.137270e-10	2	true
4.36956       	DICPCG	1.022540e-02	1.168520e-09	2	true
