# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.120192      	DICPCG	1.000000e+00	1.697020e-07	2	true
0.206282      	DICPCG	2.488690e-01	2.147500e-08	2	true
0.210338      	DICPCG	9.033760e-03	1.576110e-07	1	true
0.215205      	DICPCG	1.061410e-02	2.221790e-07	1	true
0.221046      	DICPCG	1.242500e-02	3.120740e-07	1	true
0.228056      	DICPCG	1.448320e-02	4.364520e-07	1	true
0.236467      	DICPCG	1.680200e-02	6.075020e-07	1	true
0.246563      	DICPCG	1.939220e-02	8.413390e-07	1	true
0.258679      	DICPCG	2.225040e-02	3.708300e-11	2	true
0.273215      	DICPCG	2.535630e-02	6.085800e-11	2	true
0.290653      	DICPCG	2.869030e-02	9.914290e-11	2	true
0.311576      	DICPCG	3.222840e-02	1.604370e-10	2	true
0.336691      	DICPCG	3.593650e-02	2.580160e-10	2	true
0.366842      	DICPCG	3.974810e-02	4.117340e-10	2	true
0.403014      	DICPCG	4.357240e-02	6.504840e-10	2	true
0.446395      	DICPCG	4.735460e-02	1.018380e-09	2	true
0.498415      	DICPCG	5.104150e-02	1.581310e-09	2	true
0.56076       	DICPCG	5.455310e-02	2.432770e-09	2	true
0.635498      	DICPCG	5.788480e-02	3.718840e-09	2	true
0.725073      	DICPCG	6.097460e-02	5.643640e-09	2	true
0.832484      	DICPCG	6.383850e-02	8.525480e-09	2	true
0.961035      	DICPCG	6.631250e-02	1.273590e-08	2	true
1.11513       	DICPCG	6.862040e-02	1.902860e-08	2	true
1.30028       	DICPCG	7.081040e-02	2.851200e-08	2	true
1.52178       	DICPCG	7.243000e-02	4.200840e-08	2	true
1.54526       	DICPCG	7.070810e-03	7.128020e-07	1	true
1.57305       	DICPCG	8.230630e-03	9.816130e-07	1	true
1.60637       	DICPCG	9.678390e-03	1.215780e-10	2	true
1.64636       	DICPCG	1.135000e-02	2.054980e-10	2	true
1.69431       	DICPCG	1.324910e-02	3.453360e-10	2	true
1.75186       	DICPCG	1.540760e-02	5.790600e-10	2	true
1.82084       	DICPCG	1.781040e-02	9.634700e-10	2	true
1.90363       	DICPCG	2.049300e-02	1.599380e-09	2	true
2.00275       	DICPCG	2.338460e-02	2.622660e-09	2	true
2.12191       	DICPCG	2.660660e-02	4.323670e-09	2	true
2.2649        	DICPCG	2.999900e-02	7.042430e-09	2	true
2.43584       	DICPCG	3.344100e-02	1.127140e-08	2	true
2.62869       	DICPCG	3.499030e-02	1.505780e-08	2	true
2.64726       	DICPCG	3.242670e-03	2.587110e-07	1	true
2.66955       	DICPCG	3.862100e-03	3.697240e-07	1	true
2.69629       	DICPCG	4.591470e-03	5.271900e-07	1	true
2.72838       	DICPCG	5.449000e-03	7.503280e-07	1	true
2.76691       	DICPCG	6.457080e-03	1.078120e-10	2	true
2.81313       	DICPCG	7.626180e-03	1.833670e-10	2	true
2.8686        	DICPCG	8.984840e-03	3.114700e-10	2	true
2.93506       	DICPCG	1.053560e-02	5.251440e-10	2	true
3.01472       	DICPCG	1.231200e-02	8.831710e-10	2	true
3.11031       	DICPCG	1.434430e-02	1.484860e-09	2	true
3.22373       	DICPCG	1.644870e-02	2.402720e-09	2	true
3.35732       	DICPCG	1.863560e-02	3.786600e-09	2	true
3.51415       	DICPCG	2.093610e-02	5.879650e-09	2	true
3.69471       	DICPCG	2.295640e-02	8.569330e-09	2	true
3.80123       	DICPCG	1.304340e-02	1.672920e-09	2	true
3.8424        	DICPCG	4.949190e-03	8.735150e-07	1	true
3.89126       	DICPCG	5.805040e-03	1.551660e-10	2	true
3.94989       	DICPCG	6.868220e-03	2.645480e-10	2	true
4.0203        	DICPCG	8.109670e-03	4.508650e-10	2	true
4.10388       	DICPCG	9.441400e-03	7.411790e-10	2	true
4.20434       	DICPCG	1.109020e-02	1.260610e-09	2	true
4.3225        	DICPCG	1.270250e-02	2.001830e-09	2	true
4.33819       	DICPCG	1.664390e-03	1.122990e-07	1	true
4.35702       	DICPCG	1.990030e-03	1.611410e-07	1	true
4.37963       	DICPCG	2.377250e-03	2.309810e-07	1	true
4.40677       	DICPCG	2.836080e-03	3.305100e-07	1	true
4.4393        	DICPCG	3.377000e-03	4.716030e-07	1	true
4.47831       	DICPCG	4.016400e-03	6.721710e-07	1	true
4.52517       	DICPCG	4.776000e-03	9.590610e-07	1	true
4.58142       	DICPCG	5.667020e-03	2.002100e-10	2	true
4.64903       	DICPCG	6.717610e-03	3.431670e-10	2	true
4.73011       	DICPCG	7.924380e-03	5.829180e-10	2	true
4.82756       	DICPCG	9.341410e-03	9.947660e-10	2	true
4.94416       	DICPCG	1.092550e-02	1.670020e-09	2	true
5.08441       	DICPCG	1.279470e-02	2.838350e-09	2	true
5.25319       	DICPCG	1.492330e-02	4.811970e-09	2	true
5.34295       	DICPCG	7.756860e-03	6.977600e-10	2	true
5.37224       	DICPCG	2.507170e-03	3.154860e-07	1	true
5.40585       	DICPCG	2.859130e-03	4.125640e-07	1	true
5.44617       	DICPCG	3.405640e-03	5.890780e-07	1	true
5.49457       	DICPCG	4.054190e-03	8.411260e-07	1	true
5.55262       	DICPCG	4.814210e-03	1.803350e-10	2	true
5.62232       	DICPCG	5.712200e-03	3.087480e-10	2	true
5.70585       	DICPCG	6.749120e-03	5.243130e-10	2	true
5.80582       	DICPCG	7.944890e-03	8.854820e-10	2	true
5.92578       	DICPCG	9.349050e-03	1.504080e-09	2	true
6.0692        	DICPCG	1.092300e-02	2.519330e-09	2	true
6.23974       	DICPCG	1.264690e-02	4.139570e-09	2	true
6.28463       	DICPCG	3.281310e-03	6.316510e-07	1	true
6.32403       	DICPCG	2.861560e-03	4.838830e-07	1	true
6.37107       	DICPCG	3.392340e-03	6.843400e-07	1	true
6.42684       	DICPCG	3.988440e-03	9.530670e-07	1	true
6.49365       	DICPCG	4.730330e-03	2.338270e-10	2	true
6.57377       	DICPCG	5.605930e-03	3.988620e-10	2	true
6.66974       	DICPCG	6.622570e-03	6.769660e-10	2	true
6.78502       	DICPCG	7.825520e-03	1.156180e-09	2	true
6.91896       	DICPCG	8.920340e-03	1.782310e-09	2	true
6.94457       	DICPCG	1.690950e-03	1.861690e-07	1	true
6.97527       	DICPCG	2.018870e-03	2.663570e-07	1	true
7.01147       	DICPCG	2.367850e-03	3.680200e-07	1	true
7.05471       	DICPCG	2.812260e-03	5.218150e-07	1	true
7.10657       	DICPCG	3.349470e-03	7.447640e-07	1	true
7.1687        	DICPCG	3.978990e-03	1.697530e-10	2	true
7.24331       	DICPCG	4.730850e-03	2.907920e-10	2	true
7.33299       	DICPCG	5.619740e-03	4.996710e-10	2	true
7.44072       	DICPCG	6.656510e-03	8.551700e-10	2	true
7.56983       	DICPCG	7.846880e-03	1.450600e-09	2	true
7.72408       	DICPCG	9.193750e-03	2.432440e-09	2	true
7.90984       	DICPCG	1.082090e-02	4.169230e-09	2	true
8.02454       	DICPCG	6.567540e-03	9.546060e-10	2	true
8.0509        	DICPCG	1.499670e-03	1.699870e-07	1	true
8.08252       	DICPCG	1.792240e-03	2.435730e-07	1	true
8.12045       	DICPCG	2.140180e-03	3.486760e-07	1	true
8.16595       	DICPCG	2.553230e-03	4.985550e-07	1	true
8.22061       	DICPCG	3.047480e-03	7.141830e-07	1	true
8.28615       	DICPCG	3.626640e-03	1.722420e-10	2	true
8.36462       	DICPCG	4.302370e-03	2.911900e-10	2	true
8.45861       	DICPCG	5.097770e-03	4.954440e-10	2	true
8.57113       	DICPCG	6.025960e-03	8.406890e-10	2	true
8.7058        	DICPCG	7.103460e-03	1.421580e-09	2	true
8.86399       	DICPCG	8.199960e-03	2.268730e-09	2	true
8.92267       	DICPCG	3.012730e-03	7.577750e-07	1	true
8.9545        	DICPCG	1.627560e-03	2.227320e-07	1	true
8.99271       	DICPCG	1.945050e-03	3.192110e-07	1	true
9.03857       	DICPCG	2.323720e-03	4.574920e-07	1	true
9.09361       	DICPCG	2.772140e-03	6.543290e-07	1	true
9.15961       	DICPCG	3.301080e-03	9.333470e-07	1	true
9.23882       	DICPCG	3.928410e-03	2.709980e-10	2	true
9.33376       	DICPCG	4.662930e-03	4.605460e-10	2	true
9.44729       	DICPCG	5.510250e-03	7.791600e-10	2	true
9.58253       	DICPCG	6.474330e-03	1.301450e-09	2	true
9.68073       	DICPCG	4.648860e-03	4.905270e-10	2	true
9.72136       	DICPCG	1.913000e-03	3.339260e-07	1	true
9.77018       	DICPCG	2.286920e-03	4.791530e-07	1	true
9.82875       	DICPCG	2.728440e-03	6.853190e-07	1	true
9.89899       	DICPCG	3.249110e-03	9.774310e-07	1	true
9.98335       	DICPCG	3.870580e-03	3.026040e-10	2	true
10.0848       	DICPCG	4.609770e-03	5.183790e-10	2	true
10.2023       	DICPCG	5.275570e-03	7.956000e-10	2	true
10.2409       	DICPCG	1.726180e-03	2.865850e-07	1	true
10.2869       	DICPCG	2.045210e-03	4.037850e-07	1	true
10.342        	DICPCG	2.438450e-03	5.764700e-07	1	true
10.408        	DICPCG	2.903700e-03	8.216310e-07	1	true
10.4873       	DICPCG	3.461990e-03	2.400010e-10	2	true
10.5822       	DICPCG	4.104760e-03	4.041150e-10	2	true
10.6957       	DICPCG	4.862140e-03	6.832950e-10	2	true
10.8294       	DICPCG	5.656400e-03	1.103990e-09	2	true
10.8502       	DICPCG	8.770560e-04	7.857350e-08	1	true
10.8749       	DICPCG	1.038510e-03	1.103690e-07	1	true
10.9045       	DICPCG	1.242020e-03	1.582120e-07	1	true
10.94         	DICPCG	1.484450e-03	2.265930e-07	1	true
10.9826       	DICPCG	1.774600e-03	3.248370e-07	1	true
11.0338       	DICPCG	2.121190e-03	4.658370e-07	1	true
