# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.120192      	DICPCG	1.000000e+00	1.837860e-07	2	true
0.264006      	DICPCG	3.554230e-01	9.395980e-08	2	true
0.394196      	DICPCG	1.852180e-01	3.991640e-08	2	true
0.403028      	DICPCG	1.026320e-02	4.065610e-07	1	true
0.413402      	DICPCG	1.177130e-02	5.476250e-07	1	true
0.425658      	DICPCG	1.353170e-02	7.435940e-07	1	true
0.44026       	DICPCG	1.562010e-02	4.107060e-11	2	true
0.45774       	DICPCG	1.803090e-02	6.797640e-11	2	true
0.478716      	DICPCG	2.074750e-02	1.126960e-10	2	true
0.503841      	DICPCG	2.368270e-02	1.846660e-10	2	true
0.533934      	DICPCG	2.685510e-02	3.006680e-10	2	true
0.569914      	DICPCG	3.018230e-02	4.834880e-10	2	true
0.612773      	DICPCG	3.355210e-02	7.635250e-10	2	true
0.6639        	DICPCG	3.706990e-02	1.202250e-09	2	true
0.724892      	DICPCG	4.064390e-02	1.879750e-09	2	true
0.797572      	DICPCG	4.416700e-02	2.907290e-09	2	true
0.884319      	DICPCG	4.770210e-02	4.485550e-09	2	true
0.98782       	DICPCG	5.110940e-02	6.863990e-09	2	true
1.11096       	DICPCG	5.421240e-02	1.034460e-08	2	true
1.25752       	DICPCG	5.713940e-02	1.551280e-08	2	true
1.42833       	DICPCG	5.868110e-02	2.173220e-08	2	true
1.62476       	DICPCG	5.931320e-02	2.917430e-08	2	true
1.65584       	DICPCG	8.744020e-03	1.039140e-10	2	true
1.69074       	DICPCG	9.620720e-03	1.441550e-10	2	true
1.73243       	DICPCG	1.123710e-02	2.406950e-10	2	true
1.78226       	DICPCG	1.307390e-02	4.003110e-10	2	true
1.8421        	DICPCG	1.522250e-02	6.733730e-10	2	true
1.91379       	DICPCG	1.759380e-02	1.119250e-09	2	true
1.99962       	DICPCG	2.020400e-02	1.845590e-09	2	true
2.10276       	DICPCG	2.315080e-02	3.062270e-09	2	true
2.22653       	DICPCG	2.630900e-02	5.026430e-09	2	true
2.37441       	DICPCG	2.955730e-02	8.089790e-09	2	true
2.54452       	DICPCG	3.178070e-02	1.154570e-08	2	true
2.62769       	DICPCG	1.479410e-02	1.264790e-09	2	true
2.6933        	DICPCG	1.134540e-02	6.015010e-10	2	true
2.77212       	DICPCG	1.326470e-02	1.017120e-09	2	true
2.86671       	DICPCG	1.542040e-02	1.706730e-09	2	true
2.98021       	DICPCG	1.783530e-02	2.850530e-09	2	true
3.11614       	DICPCG	2.046950e-02	4.707040e-09	2	true
3.15814       	DICPCG	6.156580e-03	1.329200e-10	2	true
3.20583       	DICPCG	6.889910e-03	1.918910e-10	2	true
3.26303       	DICPCG	8.127650e-03	3.261590e-10	2	true
3.3316        	DICPCG	9.553470e-03	5.518670e-10	2	true
3.41399       	DICPCG	1.121670e-02	9.373870e-10	2	true
3.51301       	DICPCG	1.312050e-02	1.587760e-09	2	true
3.63172       	DICPCG	1.524110e-02	2.658770e-09	2	true
3.77418       	DICPCG	1.763110e-02	4.444350e-09	2	true
3.93621       	DICPCG	1.924830e-02	6.293440e-09	2	true
3.97416       	DICPCG	4.406240e-03	7.483410e-07	1	true
4.01638       	DICPCG	4.851590e-03	9.162110e-07	1	true
4.06575       	DICPCG	5.607690e-03	1.668250e-10	2	true
4.12342       	DICPCG	6.462420e-03	2.625580e-10	2	true
4.19187       	DICPCG	7.550950e-03	4.328410e-10	2	true
4.27315       	DICPCG	8.804260e-03	7.130770e-10	2	true
4.36956       	DICPCG	1.022240e-02	1.167310e-09	2	true
4.48354       	DICPCG	1.179200e-02	1.887200e-09	2	true
4.61941       	DICPCG	1.366110e-02	3.116780e-09	2	true
4.77618       	DICPCG	1.526060e-02	4.648540e-09	2	true
4.83129       	DICPCG	5.257940e-03	1.944170e-10	2	true
4.89392       	DICPCG	5.902300e-03	2.821540e-10	2	true
4.96923       	DICPCG	6.993770e-03	4.840420e-10	2	true
5.05946       	DICPCG	8.237540e-03	8.203800e-10	2	true
5.16783       	DICPCG	9.696160e-03	1.396890e-09	2	true
5.29745       	DICPCG	1.132590e-02	2.341680e-09	2	true
5.44559       	DICPCG	1.260040e-02	3.411270e-09	2	true
5.48121       	DICPCG	2.986770e-03	4.763960e-07	1	true
5.52392       	DICPCG	3.555030e-03	6.794260e-07	1	true
5.57517       	DICPCG	4.228590e-03	9.689020e-07	1	true
5.63664       	DICPCG	5.018830e-03	2.303960e-10	2	true
5.71027       	DICPCG	5.937100e-03	3.914200e-10	2	true
5.79875       	DICPCG	7.031430e-03	6.708420e-10	2	true
5.90484       	DICPCG	8.285060e-03	1.139080e-09	2	true
