# Wall heat-flux
# Time        	patch         	min           	max           	integral      
25            	gas_to_sphere	-1.806442e+00	1.058663e+00	-4.033220e-04
50            	gas_to_sphere	-3.777906e+00	2.285521e+00	-4.914280e-03
75            	gas_to_sphere	-5.676387e+00	3.900232e+00	-6.571257e-03
100           	gas_to_sphere	-3.377940e+00	5.686037e+00	1.788711e-03
125           	gas_to_sphere	-6.591823e+00	4.910577e+00	-1.355567e-03
150           	gas_to_sphere	-1.603490e+01	8.036687e+00	7.310404e-03
175           	gas_to_sphere	-4.784872e+00	3.956222e+00	1.716519e-03
200           	gas_to_sphere	-9.473815e+00	5.278283e+00	-2.271251e-03
225           	gas_to_sphere	-8.259627e+00	4.232641e+00	-8.285022e-04
250           	gas_to_sphere	-4.052509e+00	5.959790e+00	5.690228e-03
