# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
0.120192      	DILUPBiCGStab	1.000000e+00	3.121750e-02	1	1.000000e+00	2.924630e-02	1	1.000000e+00	1.603030e-02	1	false	DILUPBiCGStab	1.000000e+00	2.086250e-02	1	true	GAMG	8.181040e-01	2.351130e-02	6	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.264006      	DILUPBiCGStab	9.863060e-01	3.774420e-02	1	9.842180e-01	3.283090e-02	1	9.577940e-01	4.443720e-02	1	false	DILUPBiCGStab	6.986620e-01	3.859160e-02	1	true	GAMG	9.603620e-01	3.093180e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.394196      	DILUPBiCGStab	9.587410e-01	1.271150e-02	1	9.595150e-01	9.253620e-02	1	9.701390e-01	1.348050e-02	1	false	DILUPBiCGStab	7.963490e-01	2.922060e-02	1	true	GAMG	9.757800e-01	3.096230e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.403028      	DILUPBiCGStab	2.424980e-01	1.709660e-02	1	2.346370e-01	1.290480e-02	1	2.492940e-01	1.393700e-02	1	false	DILUPBiCGStab	1.139380e-01	1.932260e-03	1	true	GAMG	7.162020e-01	2.130680e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.413402      	DILUPBiCGStab	2.046950e-01	1.564380e-02	1	2.270000e-01	9.608080e-03	1	2.323720e-01	1.073170e-02	1	false	DILUPBiCGStab	1.040510e-01	8.595680e-03	1	true	GAMG	5.014290e-01	1.709080e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.425658      	DILUPBiCGStab	1.227540e-01	9.295690e-03	1	1.244340e-01	6.873380e-03	1	1.199730e-01	7.597220e-03	1	false	DILUPBiCGStab	8.954470e-02	5.884340e-03	1	true	GAMG	3.061040e-01	1.351890e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.44026       	DILUPBiCGStab	1.056340e-01	7.912290e-03	1	1.082110e-01	5.509560e-03	1	1.047850e-01	5.837990e-03	1	false	DILUPBiCGStab	6.283810e-02	4.362880e-03	1	true	GAMG	2.618450e-01	1.059780e-02	2	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.45774       	DILUPBiCGStab	9.883030e-02	7.307050e-03	1	9.760890e-02	5.388940e-03	1	1.020060e-01	6.118190e-03	1	false	DILUPBiCGStab	5.686670e-02	3.780390e-03	1	true	GAMG	2.483290e-01	1.002880e-02	2	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.478716      	DILUPBiCGStab	9.694830e-02	7.178970e-03	1	9.301980e-02	5.296130e-03	1	1.023930e-01	6.248030e-03	1	false	DILUPBiCGStab	5.396460e-02	3.590160e-03	1	true	GAMG	2.467340e-01	1.034010e-02	2	true	diagonal	0.000000e+00	0.000000e+00	0	true
0.503841      	DILUPBiCGStab	9.677820e-02	7.138350e-03	1	9.090210e-02	5.504620e-03	1	1.034220e-01	6.603500e-03	1	false	DILUPBiCGStab	5.221690e-02	3.531270e-03	1	true	GAMG	2.502120e-01	1.018410e-02	2	true	diagonal	0.000000e+00	0.000000e+00	0	true
