# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
0.120192      	DICPCG	1.000000e+00	9.931050e-09	3	true
0.206282      	DICPCG	1.045030e-01	9.286790e-08	2	true
0.210338      	DICPCG	3.587850e-03	1.556780e-07	1	true
0.215205      	DICPCG	6.711480e-03	3.500940e-07	1	true
0.221046      	DICPCG	8.566190e-03	5.424720e-07	1	true
0.228056      	DICPCG	1.010910e-02	7.686240e-07	1	true
0.236467      	DICPCG	1.160970e-02	8.388400e-11	2	true
0.246563      	DICPCG	1.306450e-02	1.355950e-10	2	true
0.258679      	DICPCG	1.449340e-02	2.162250e-10	2	true
0.273215      	DICPCG	1.591740e-02	3.414070e-10	2	true
0.290653      	DICPCG	1.733590e-02	5.354300e-10	2	true
0.311576      	DICPCG	1.872910e-02	8.346750e-10	2	true
0.336691      	DICPCG	2.006410e-02	1.295030e-09	2	true
0.366842      	DICPCG	2.128760e-02	1.995310e-09	2	true
0.403014      	DICPCG	2.234040e-02	3.043270e-09	2	true
0.446395      	DICPCG	2.321650e-02	4.604250e-09	2	true
0.498415      	DICPCG	2.401410e-02	6.950230e-09	2	true
0.56076       	DICPCG	2.502970e-02	1.056670e-08	2	true
0.635498      	DICPCG	2.680780e-02	1.649000e-08	2	true
0.725073      	DICPCG	2.991080e-02	2.799190e-08	2	true
0.832484      	DICPCG	3.461400e-02	4.939790e-08	2	true
0.961035      	DICPCG	4.106010e-02	8.420390e-08	2	true
1.11513       	DICPCG	4.673060e-02	1.350050e-07	2	true
1.30028       	DICPCG	5.152350e-02	2.143740e-07	2	true
1.52178       	DICPCG	4.689650e-02	2.611340e-07	2	true
1.54526       	DICPCG	4.463080e-03	2.117420e-10	2	true
1.57305       	DICPCG	5.506460e-03	3.632540e-10	2	true
1.60637       	DICPCG	6.785750e-03	6.203330e-10	2	true
1.64636       	DICPCG	8.341020e-03	1.085900e-09	2	true
1.69431       	DICPCG	1.007740e-02	1.897760e-09	2	true
1.75186       	DICPCG	1.193370e-02	3.280420e-09	2	true
1.82084       	DICPCG	1.378410e-02	5.532780e-09	2	true
1.90363       	DICPCG	1.556110e-02	9.355250e-09	2	true
2.00275       	DICPCG	1.718620e-02	1.552060e-08	2	true
2.12191       	DICPCG	1.881030e-02	2.605850e-08	2	true
2.2649        	DICPCG	2.026670e-02	4.335000e-08	2	true
2.43584       	DICPCG	2.149780e-02	6.919760e-08	2	true
2.62869       	DICPCG	2.126140e-02	9.997500e-08	2	true
2.64726       	DICPCG	1.924610e-03	4.082860e-07	1	true
2.66955       	DICPCG	2.290300e-03	5.852400e-07	1	true
2.69629       	DICPCG	2.691070e-03	8.234500e-07	1	true
2.72838       	DICPCG	3.166360e-03	3.312500e-10	2	true
2.76691       	DICPCG	3.719530e-03	5.535120e-10	2	true
2.81313       	DICPCG	4.361660e-03	9.188730e-10	2	true
2.8686        	DICPCG	5.113480e-03	1.532040e-09	2	true
